GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;9;F;10;YES;4;46;YES;NO;NO;NO;0.000382565;8,14E-01
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;NO;NO;11;E;14;YES;5;46;NO;n.a.;NO;NO;8,59E-01;8,13E-01
AR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;n.a.;n.a.;13;NO;4;51;NO;NO;NO;NO;2,94E+00;8,13E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;7;n.a.;13;YES;6;46;NO;n.a.;n.a.;NO;1,07E+00;8,13E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;WHITE;NO;NO;11;F;12;n.a.;4;52;NO;n.a.;NO;NO;7,94E-01;8,13E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;6;n.a.;13;YES;6;46;YES;n.a.;NO;NO;7,94E-01;8,13E-01
BH;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;13;NO;4;46;YES;n.a.;NO;NO;9,26E+00;8,09E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;NO;NO;11;n.a.;13;YES;4;49;NO;NO;NO;NO;7,97E-01;8,07E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;NO;NO;12;F;12;NO;3;52;NO;n.a.;n.a.;NO;0.000134474;8,06E-01
EL;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;NO;NO;9;n.a.;9;NO;5;53;NO;n.a.;NO;NO;8,40E-01;8,01E-01
EL;Great Britain;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;10;E;13;YES;6;48;NO;n.a.;NO;NO;1,90E+00;7,95E-01
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;8;42;YES;YES;NO;NO;0.000809803;7,94E-01
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;E;10;YES;5;44;NO;NO;NO;VOICE CONTROL;0,00;7,93E-02
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;F;9;YES;6;44;NO;NO;NO;NO;7,78E-01;7,92E-02
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;F;9;YES;6;44;NO;NO;NO;NO;0,00;7,90E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;11;F;12;YES;6;48;NO;n.a.;NO;NO;1,04E+00;7,88E-02
WH;Germany;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;9;F;10;NO;6;47;NO;n.a.;n.a.;NO;1,02E+00;7,88E-02
TR;Germany;BUILT IN/UNDER;FULLSIZE;METAL LOOK;NO;NO;11;E;12;NO;4;49;NO;NO;NO;NO;2,05E+00;7,88E-02
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;5;44;YES;YES;NO;NO;0.000327172;7,88E-02
BH;Poland;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;8;B;10;YES;7;43;YES;NO;NO;VOICE CONTROL;0,00;7,88E-02
EL;Poland;FREESTANDING;SLIMLINE;WHITE;YES;YES;9;E;9;NO;6;46;NO;n.a.;NO;NO;5,95E-01;7,88E-02
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;13;YES;7;44;YES;NO;NO;NO;4,78E+00;7,84E-01
AR;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;NO;8;E;11;YES;8;46;YES;n.a.;n.a.;NO;0.000442944;7,84E-01
EL;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;9;E;9;NO;9;49;NO;n.a.;NO;NO;4,30E-01;7,78E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;14;YES;5;42;YES;n.a.;NO;VOICE CONTROL;0,00;7,76E-01
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;15;n.a.;12;n.a.;5;51;n.a.;n.a.;n.a.;n.a.;0,00;7,75E-02
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;46;NO;NO;NO;VOICE CONTROL;0,00;7,73E-02
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;YES;8;46;YES;NO;NO;NO;0.000109525;7,72E-01
WH;Great Britain;FREESTANDING;FULLSIZE;SILVER;NO;NO;12;F;13;NO;6;46;NO;n.a.;NO;NO;8,95E-01;7,68E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;n.a.;14;YES;6;44;YES;NO;NO;NO;7,17E-01;7,66E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;12;YES;8;41;NO;NO;NO;SMART APP CTRL.;4,83E-01;7,64E-01
WH;Great Britain;FREESTANDING;FULLSIZE;SILVER;NO;NO;12;F;13;NO;5;46;NO;n.a.;NO;NO;5,69E-01;7,64E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;5;40;NO;NO;NO;VOICE CONTROL;0,00;7,64E-01
EL;Great Britain;FREESTANDING;SLIMLINE;WHITE;NO;NO;9;n.a.;10;NO;5;49;YES;n.a.;NO;NO;4,47E-01;7,63E-01
BH;Germany;FREESTANDING;FULLSIZE;METAL LOOK;YES;YES;9;C;14;YES;6;44;YES;n.a.;NO;VOICE CONTROL;4,96E-01;7,54E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;6;E;13;YES;6;44;NO;NO;NO;NO;5,51E-02;7,54E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;7;D;13;YES;8;42;YES;NO;NO;SMART APP CTRL.;1,16E+00;7,54E-01
BH;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;46;YES;n.a.;NO;VOICE CONTROL;3,50E-01;7,54E-01
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;F;9;YES;4;48;NO;NO;NO;NO;0.00014756;7,54E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;14;YES;6;41;YES;NO;NO;VOICE CONTROL;4,67E-01;7,47E-01
BH;Great Britain;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;8;E;9;YES;4;46;NO;NO;NO;NO;0.001164137;7,46E-01
BH;Poland;FREESTANDING;SLIMLINE;SILVER;YES;YES;9;E;10;YES;5;44;YES;n.a.;NO;NO;0.001666394;7,44E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;YES;8;42;YES;NO;NO;NO;3,77E-01;7,39E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;42;NO;NO;NO;VOICE CONTROL;0,00;7,37E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;12;YES;6;46;NO;NO;NO;NO;9,48E-01;7,32E-01
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;E;9;YES;6;44;NO;NO;NO;NO;7,30E-01;7,32E-01
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;n.a.;13;NO;4;49;NO;NO;NO;NO;1,35E+00;7,32E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;15;NO;7;39;YES;NO;NO;NO;2,14E+00;7,31E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;13;YES;6;41;NO;NO;NO;VOICE CONTROL;1,20E-01;7,31E-01
BH;Poland;FREESTANDING;SLIMLINE;METAL LOOK;YES;YES;8;C;10;NO;5;44;NO;n.a.;NO;VOICE CONTROL;0,00;7,30E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;12;YES;8;42;NO;n.a.;NO;NO;4,41E-02;7,29E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;42;YES;NO;NO;VOICE CONTROL;0,00;7,28E-01
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;15;NO;6;41;YES;NO;NO;NO;0,00;7,19E-01
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;44;NO;NO;NO;NO;0.000186514;7,19E-01
WH;Great Britain;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;15;NO;8;43;YES;n.a.;NO;NO;0,00;7,19E-01
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;A;15;YES;6;42;YES;YES;NO;NO;0,00;7,19E-01
AR;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;NO;NO;11;E;10;NO;5;49;NO;n.a.;NO;NO;0.000449844;7,14E-01
BH;Poland;FREESTANDING;FULLSIZE;WHITE;YES;NO;10;E;12;YES;2;48;NO;n.a.;NO;NO;2,94E+00;7,14E-01
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;YES;5;44;YES;NO;NO;NO;0.000161228;7,06E-02
WH;Poland;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;D;10;NO;7;44;NO;NO;NO;NO;1,77E+00;7,06E-01
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;YES;4;50;NO;NO;NO;NO;0.000144912;7,05E-01
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;F;10;YES;6;48;YES;NO;NO;VOICE CONTROL;1,98E-01;7,05E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;6;46;NO;NO;NO;NO;6,90E-03;7,05E-02
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;6;n.a.;13;YES;6;44;NO;NO;NO;NO;0,00;7,05E-02
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;E;10;YES;5;44;YES;NO;NO;VOICE CONTROL;0,00;7,05E-02
EL;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;n.a.;13;YES;6;47;n.a.;NO;n.a.;NO;0,00;7,05E-02
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;15;NO;7;42;YES;YES;NO;NO;0,00;7,05E-02
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;7;44;NO;YES;NO;NO;1,82E-02;7,05E-02
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;13;YES;6;44;NO;n.a.;NO;VOICE CONTROL;0.000115624;7,05E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;8;42;NO;NO;NO;VOICE CONTROL;6,65E+00;7,05E-02
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;YES;8;42;YES;NO;NO;NO;2,93E+00;6,99E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;14;NO;7;44;YES;NO;NO;NO;0,00;6,98E-01
BH;Poland;FREESTANDING;SLIMLINE;WHITE;YES;YES;8;E;9;YES;6;46;NO;n.a.;NO;VOICE CONTROL;7,90E-02;6,95E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;5;42;YES;NO;NO;VOICE CONTROL;0,00;6,92E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;n.a.;13;YES;6;44;NO;NO;NO;NO;4,71E+00;6,89E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;n.a.;13;YES;5;44;NO;n.a.;n.a.;NO;6,53E-01;6,88E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;NO;7;46;NO;YES;NO;NO;0.00018258;6,88E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;46;NO;NO;NO;VOICE CONTROL;0,00;6,85E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;15;NO;7;44;YES;YES;NO;NO;1,65E+00;6,85E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;n.a.;13;NO;4;49;NO;n.a.;NO;NO;1,77E+00;6,85E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;5;40;NO;NO;NO;VOICE CONTROL;0,00;6,84E-01
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;E;10;YES;5;44;YES;NO;NO;VOICE CONTROL;0,00;6,83E-01
BH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;6;n.a.;13;YES;6;44;YES;NO;NO;NO;0,00;6,80E-01
BH;Poland;FREESTANDING;SLIMLINE;METAL LOOK;YES;YES;9;F;9;YES;5;48;NO;n.a.;NO;VOICE CONTROL;2,07E-01;6,77E-01
BH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;YES;NO;NO;VOICE CONTROL;0,00;6,75E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;NO;4;50;NO;NO;NO;NO;0.000180321;6,74E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;8;41;NO;NO;NO;VOICE CONTROL;4,92E-01;6,68E-01
WH;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;9;F;10;NO;6;47;NO;n.a.;n.a.;NO;3,16E-01;6,64E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;6;E;13;YES;6;46;NO;NO;NO;NO;6,61E-03;6,62E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;NO;9;A;14;YES;7;43;YES;NO;NO;VOICE CONTROL;0,00;6,61E-01
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;11;D;15;NO;7;44;YES;YES;NO;NO;3,97E-01;6,58E-01
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;9;C;14;YES;11;41;YES;YES;NO;NO;1,32E-01;6,55E-01
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;NO;7;44;NO;YES;NO;NO;0,00;6,51E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;14;YES;5;40;YES;n.a.;NO;VOICE CONTROL;0,00;6,51E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;D;13;NO;7;39;NO;YES;NO;NO;8,26E-01;6,51E-01
AR;Poland;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;NO;9;C;16;YES;6;44;YES;n.a.;NO;NO;8,26E-01;6,51E-01
EL;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;9;E;10;NO;8;46;YES;n.a.;NO;NO;4,63E-01;6,51E-01
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;12;F;13;NO;7;46;NO;NO;NO;NO;3,31E-03;6,51E-01
BH;Poland;FREESTANDING;SLIMLINE;WHITE;YES;NO;9;F;9;YES;5;48;NO;n.a.;NO;VOICE CONTROL;7,14E-01;6,51E-02
AR;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;8;E;11;YES;6;46;YES;n.a.;n.a.;NO;0.000277874;6,48E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;NO;2,80E+00;6,47E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;6;46;YES;NO;NO;NO;0,00;6,43E-01
BH;Germany;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;13;YES;5;42;NO;n.a.;NO;VOICE CONTROL;0,00;6,43E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;n.a.;12;n.a.;4;52;NO;NO;n.a.;NO;4,63E-01;6,39E-01
WH;Great Britain;FREESTANDING;SLIMLINE;STAINLESS STEEL;NO;NO;11;F;10;NO;5;49;YES;n.a.;NO;NO;0,00;6,31E-01
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;NO;7;44;NO;YES;NO;NO;0,00;6,30E-02
BH;Poland;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;E;10;YES;6;44;YES;NO;NO;VOICE CONTROL;5,52E-01;6,29E-02
BH;Poland;FREESTANDING;SLIMLINE;WHITE;YES;YES;8;E;10;YES;5;46;NO;n.a.;NO;VOICE CONTROL;0,00;6,25E-01
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;13;YES;6;46;NO;n.a.;n.a.;NO;0,00;6,24E-01
BH;Poland;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;F;9;YES;5;48;NO;NO;NO;VOICE CONTROL;2,17E-01;6,24E-01
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;C;10;YES;5;44;NO;NO;NO;VOICE CONTROL;0,00;6,22E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;10;E;12;NO;4;50;NO;NO;NO;VOICE CONTROL;0,00;6,17E-01
BH;Germany;BUILT IN/UNDER;SLIMLINE;STAINLESS STEEL;YES;YES;9;E;10;YES;5;44;YES;NO;NO;VOICE CONTROL;0,00;6,17E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;7;41;YES;NO;NO;VOICE CONTROL;4,96E-01;6,17E-01
WH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;E;14;NO;8;46;NO;n.a.;NO;NO;6,61E-02;6,17E-01
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;NO;8;46;NO;NO;NO;NO;4,30E+00;6,17E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;5;44;YES;NO;NO;NO;0.00010246;6,15E-01
WH;Great Britain;FREESTANDING;FULLSIZE;WHITE;NO;NO;11;F;13;NO;5;49;NO;n.a.;NO;NO;0,00;6,12E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;n.a.;13;YES;6;42;NO;n.a.;NO;NO;1,09E+00;6,12E-01
AR;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;12;E;13;NO;5;48;NO;NO;NO;NO;0,00;6,10E-01
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;14;NO;6;42;YES;YES;NO;NO;6,32E+00;6,06E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;5;44;NO;NO;NO;NO;2,63E+00;6,03E-02
BH;Great Britain;FREESTANDING;FULLSIZE;METAL LOOK;YES;YES;11;F;12;YES;5;48;NO;n.a.;NO;NO;4,82E-01;6,03E-01
EL;Poland;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;11;D;15;NO;6;44;YES;YES;NO;NO;0,00;6,02E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;14;YES;6;41;YES;NO;NO;VOICE CONTROL;3,60E-01;6,02E-01
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;F;14;NO;5;49;NO;NO;NO;NO;1,32E-01;5,99E-01
WH;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;NO;9;41;YES;NO;NO;NO;5,62E-01;5,98E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;n.a.;13;YES;5;44;NO;n.a.;NO;NO;6,34E-01;5,96E-01
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;14;YES;8;43;YES;NO;NO;VOICE CONTROL;4,10E+00;5,95E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;8;41;NO;NO;NO;VOICE CONTROL;4,22E-01;5,93E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;A;14;YES;7;43;YES;NO;NO;VOICE CONTROL;0,00;5,92E-01
EL;Great Britain;FREESTANDING;SLIMLINE;WHITE;NO;NO;9;F;9;NO;4;49;NO;n.a.;NO;NO;0,00;5,85E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;42;YES;NO;NO;VOICE CONTROL;0,00;5,82E-01
BH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;B;14;YES;5;42;YES;n.a.;NO;VOICE CONTROL;0,00;5,82E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;A;14;YES;7;43;YES;NO;NO;VOICE CONTROL;0,00;5,82E-01
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;E;10;YES;5;44;NO;NO;NO;VOICE CONTROL;0,00;5,82E-02
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;D;10;YES;6;44;YES;NO;NO;VOICE CONTROL;2,34E+00;5,79E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;n.a.;13;YES;5;44;NO;n.a.;n.a.;NO;0,00;5,75E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;13;YES;8;43;NO;NO;NO;VOICE CONTROL;2,57E+00;5,75E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;13;YES;8;43;NO;NO;NO;VOICE CONTROL;2,20E+00;5,75E-03
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;n.a.;12;YES;5;46;NO;n.a.;n.a.;NO;0,00;5,71E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;NO;9;E;12;NO;5;46;NO;n.a.;NO;NO;7,60E-01;5,71E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;n.a.;NO;NO;3,57E-01;5,71E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;NO;NO;11;F;12;NO;4;50;NO;NO;NO;NO;6,81E+00;5,71E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;E;13;YES;5;46;YES;NO;NO;NO;3,69E+00;5,71E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;n.a.;12;NO;3;52;NO;n.a.;n.a.;NO;3,97E-01;5,71E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;n.a.;13;YES;6;44;NO;n.a.;NO;NO;2,82E-01;5,71E-01
EL;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;9;E;13;NO;4;47;NO;NO;NO;NO;0,00;5,71E-01
WH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;11;n.a.;13;NO;5;49;NO;NO;NO;NO;6,28E-01;5,71E-01
EL;Great Britain;FREESTANDING;FULLSIZE;WHITE;YES;YES;10;E;14;NO;6;46;YES;n.a.;NO;NO;0,00;5,70E-01
BH;Germany;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;8;F;9;YES;6;44;YES;NO;NO;NO;1,23E+00;5,66E-01
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;10;n.a.;13;NO;6;44;n.a.;n.a.;n.a.;n.a.;4,76E+00;5,65E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;n.a.;13;YES;6;44;NO;n.a.;NO;NO;1,26E+00;5,57E-02
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;n.a.;13;YES;5;46;YES;n.a.;n.a.;NO;4,96E-01;5,49E-01
AR;Germany;FREESTANDING;FULLSIZE;METAL LOOK;YES;NO;9;E;15;YES;6;46;YES;n.a.;NO;NO;7,93E-01;5,48E-01
AR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;E;13;NO;4;49;NO;NO;NO;NO;1,98E-01;5,48E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;n.a.;14;n.a.;6;44;n.a.;n.a.;n.a.;n.a.;1,19E-01;5,48E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;12;n.a.;12;n.a.;5;46;n.a.;n.a.;n.a.;n.a.;0,00;5,48E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;12;YES;7;43;NO;NO;NO;VOICE CONTROL;0,00;5,48E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;13;YES;5;42;NO;NO;NO;VOICE CONTROL;0,00;5,48E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;14;YES;5;42;YES;NO;NO;VOICE CONTROL;0,00;5,48E-01
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;7;n.a.;13;n.a.;6;44;n.a.;n.a.;n.a.;n.a.;0,00;5,48E-01
BH;Poland;BUILT IN/UNDER;FULLSIZE;BLACK;YES;YES;9;C;14;YES;6;41;YES;n.a.;NO;VOICE CONTROL;0,00;5,48E-01
BH;Poland;FREESTANDING;FULLSIZE;METAL LOOK;YES;YES;6;D;13;NO;6;44;YES;n.a.;NO;VOICE CONTROL;6,61E-03;5,48E-01
EL;Poland;FREESTANDING;SLIMLINE;STAINLESS STEEL;YES;YES;9;D;10;NO;6;48;YES;n.a.;NO;NO;7,07E+00;5,48E-01
BH;Poland;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;46;YES;NO;NO;VOICE CONTROL;0,00;5,45E-01
