GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;NO;NO;NO;VOICE CONTROL;0.002603761;0.001970726
EL;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;9;F;13;NO;5;49;NO;YES;NO;NO;0.003846784;0.001968416
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;11;D;14;NO;5;48;NO;NO;NO;NO;0.002087169;0.001961772
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;F;13;NO;5;49;NO;NO;NO;NO;0.004936514;0.001952294
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.002547634;0.001943896
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;13;YES;5;46;YES;NO;NO;VOICE CONTROL;0.000926882;0.001931148
AR;Great Britain;FREESTANDING;FULLSIZE;SILVER;NO;NO;12;E;13;NO;4;49;NO;n.a.;NO;NO;0.000895574;0.001930702
BH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;5;48;NO;NO;NO;VOICE CONTROL;0.001238106;0.001918319
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;12;YES;5;48;NO;NO;NO;VOICE CONTROL;0.001914093;0.001910093
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;12;YES;5;48;NO;NO;NO;VOICE CONTROL;0.000939797;0.001899317
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;5;44;YES;NO;NO;VOICE CONTROL;0,00;0.001892878
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;YES;11;41;YES;NO;NO;NO;0.000498799;0.001885905
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0.001230157;0.001878459
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;NO;6;44;NO;NO;NO;NO;0.000229043;0.001853527
AR;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;11;E;14;YES;6;46;NO;NO;NO;NO;0.001679336;0.001853502
WH;Germany;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;14;YES;10;43;NO;n.a.;NO;NO;0.002592022;0.001844107
AR;Germany;FREESTANDING;FULLSIZE;WHITE;YES;NO;12;E;13;NO;4;49;NO;n.a.;NO;NO;0.000659767;0.00181738
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;6;46;YES;NO;NO;VOICE CONTROL;5,62E+00;0.001791252
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000236315;0.001780564
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;YES;8;42;YES;NO;NO;VOICE CONTROL;0.001675226;0.001776336
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;12;YES;5;48;NO;NO;NO;VOICE CONTROL;0.00131056;0.001764281
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;11;F;12;NO;4;52;NO;NO;NO;NO;0.001933622;0.001764181
AR;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;11;D;14;NO;5;48;NO;YES;NO;NO;0.002187314;0.001750249
EL;Great Britain;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;NO;NO;9;F;9;NO;5;49;NO;YES;NO;NO;0.002036549;0.00173878
WH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;NO;6;E;10;YES;8;45;NO;n.a.;n.a.;NO;0.003040381;0.001734863
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;46;NO;NO;NO;VOICE CONTROL;0.002493336;0.001682997
BH;Germany;FREESTANDING;SLIMLINE;METAL LOOK;YES;YES;9;E;10;YES;6;44;YES;n.a.;NO;VOICE CONTROL;0.000911257;0.001663766
BH;Great Britain;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;10;E;12;YES;5;48;NO;n.a.;NO;VOICE CONTROL;0.001412925;0.00166295
