Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
BH,Great Britain,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,NO,NO,8-10,F,9-11,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,012
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0042
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0041
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0041
BH,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0224
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,012
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,NO,YES,5-10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,004
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,011
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0038
WH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,011
AR,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,12-14,NO,NO,<5,45-50,NO,NO,NO,NO,NO,0,0207
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0036
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,NO,<5,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0036
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,YES,NO,NO,0,0036
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0035
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,01
WH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,9-11,NO,NO,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0192
AR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0034
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0034
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,009
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0032
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,009
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,B,12-14,NO,YES,5-10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,0032
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0031
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0031
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0031
EL,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,12-14,NO,NO,5-10,45-50,NO,NO,YES,NO,NO,0,009
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,11-15,D,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0031
WH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,009
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,003
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,003
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,NO,NO,11-15,E,12-14,NO,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,009
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,009
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,003
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,003
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0029
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,>10,40-45,YES,NO,NO,NO,NO,0,0029
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0029
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0029
AR,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,11-15,E,12-14,NO,YES,5-10,45-50,NO,NO,NO,NO,NO,0,008
WH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,0029
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0029
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0029
AR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,NO,11-15,E,12-14,NO,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0028
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0028
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0028
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0028
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0027
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,YES,NO,<5,>50,NO,NO,NO,NO,NO,0,0027
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,11-15,D,12-14,NO,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0027
EL,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,9-11,YES,NO,5-10,45-50,NO,NO,YES,NO,NO,0,008
WH,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,NO,<8,E,9-11,NO,YES,5-10,40-45,NO,NO,n.a.,n.a.,NO,0,0149
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0026
BH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,METAL LOOK,YES,YES,8-10,E,9-11,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0026
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,007
TR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,11-15,D,12-14,NO,NO,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0026
