Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
AR,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,YES,YES,NOT APPLICABLE,NO,NO,0,0006
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,9-11,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0001
EL,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,F,9-11,NO,NO,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0001
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,85-90,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0001
BH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
WH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,NO,NO,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0001
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,B,>15,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0001
EL,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,9-11,NO,NO,<5,>50,NO,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0001
WH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0006
MI,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0001
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0001
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,NO,NO,11-15,n.a.,12-14,NO,NO,<5,>50,NO,NO,NO,NO,NO,0,0001
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0001
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,SILVER,YES,YES,<8,D,9-11,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,BLACK,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,NO,0,0001
TR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,9-11,NO,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,E,9-11,NO,YES,<5,45-50,YES,NO,NO,NO,SMART APP CTRL.,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
MI,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,YES,NO,VOICE CONTROL,0,0001
AR,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,40-45,NO,YES,YES,NO,NO,0,0006
BH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,YES,NO,VOICE CONTROL,0,0001
EL,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,9-11,YES,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0001
BH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
MI,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,F,9-11,NO,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0001
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,NO,YES,>10,<40,YES,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0001
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,NO,NO,8-10,E,12-14,YES,NO,<5,45-50,NO,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,YES,NO,VOICE CONTROL,0,0001
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,n.a.,n.a.,12-14,NO,NO,5-10,45-50,NO,NO,NO,n.a.,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,NO,0,0001
BH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0001
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,n.a.,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,n.a.,YES,5-10,45-50,NO,NO,n.a.,NO,NO,0,0001
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0006
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
AR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,11-15,F,12-14,NO,NO,<5,>50,NO,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
MI,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0001
MI,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,<8,C,9-11,NO,YES,>10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,NO,NO,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,SILVER,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
BH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,BLACK,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
MI,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,WHITE,YES,YES,<8,C,9-11,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0001
BH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
WH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,<8,E,9-11,NO,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,0005
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,NO,8-10,F,9-11,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,YES,<5,45-50,NO,NO,NO,NO,NO,0,0001
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0005
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,BLACK,YES,YES,8-10,A,12-14,NO,NO,5-10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,0001
WH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,11-15,F,9-11,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0001
WH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,9-11,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0001
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,METAL LOOK,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0005
EL,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,12-14,NO,YES,5-10,45-50,NO,NO,YES,NO,NO,0,0005
WH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,>15,NO,NO,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0005
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,NO,YES,5-10,<40,YES,NO,YES,NO,NO,0,0005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,YES,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,YES,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,YES,NO,VOICE CONTROL,0,0005
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,NO,5-10,40-45,NO,NO,YES,NO,NO,0,0001
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,NO,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0001
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,E,9-11,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
TR,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,METAL LOOK,YES,YES,8-10,D,9-11,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,9-11,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
MI,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,SMART APP CTRL.,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0005
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,<5,45-50,NO,NO,NO,NO,NO,0,0001
EL,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,F,12-14,YES,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0005
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,11-15,C,>15,YES,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
MI,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,E,9-11,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0001
EL,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,9-11,YES,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,NO,8-10,B,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0001
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,D,>15,YES,NO,5-10,<40,YES,NO,YES,NO,SMART APP CTRL.,0,0001
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0001
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,>15,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0005
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,11-15,D,12-14,YES,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0001
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,NO,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0005
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0001
EL,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,9-11,YES,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0001
BH,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,METAL LOOK,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0005
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,n.a.,12-14,YES,YES,5-10,40-45,NO,NO,n.a.,NO,NO,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,9-11,YES,YES,<5,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0001
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,9-11,YES,YES,<5,45-50,YES,NO,NO,NO,NO,0,0001
